Code,"Areas (place or coordinates(example: 37.5 degrees N, 49.2 degrees E)","Lat,Long",age,Region,length_cm,weight_kg,Sex,Regionsex
2,Ural river delta and Caspian Sea estuary: 46.00N/51.48E and 46.50N/51.30E,"46.00, 51.48",15,2,128,6.4,2,22
4,Same as above ,"46.00, 51.48",15,2,134,6.1,2,22
6,Same as above,"46.00, 51.48",14,2,134,7.3,1,21
7,Same as above,"46.00, 51.48",17,2,156,8.7,1,21
10,Same as above,"46.00, 51.48",15,2,130,6.4,1,21
12,Same as above,"46.00, 51.48",18,2,154,7.1,1,21
15,Same as above,"46.00, 51.48",18,2,160,8.8,1,21
17,Same as above,"46.00, 51.48",14,2,133,6.8,1,21
18,Same as above,"46.00, 51.48",15,2,134,7.1,2,22
19,Same as above,"46.00, 51.48",13,2,124,5.7,2,22
20,Same as above,"46.00, 51.48",13,2,119,5,2,22
21,Same as above,"46.00, 51.48",15,2,129,6.3,2,22
22,Same as above,"46.00, 51.48",13,2,119,5,2,22
23,Same as above,"46.00, 51.48",16,2,140,7.6,2,22
24,Same as above,"46.00, 51.48",14,2,136,7,2,22
25,Same as above,"46.00, 51.48",14,2,123,6.2,2,22
26,Same as above,"46.00, 51.48",15,2,130,6.2,2,22
27,Same as above,"46.00, 51.48",13,2,125,5.9,2,22
28,Same as above,"46.00, 51.48",14,2,130,6.2,2,22
30,Same as above,"46.00, 51.48",16,2,140,8.9,1,21
71,"chonochenan (37.47849951921138, 49.93286121629362)","37.47849951921138, 49.93286121629362",14,1,140,4,2,12
75,"kiashahr(37.47849951921138, 49.93286121629362)","37.47849951921138, 49.93286121629362",14,1,122,5,1,11
229,"mianqale ( 37.36740337717702, 53.90813204019619)"," 37.36740337717702, 53.90813204019619",14,1,139,7,1,11
230,"mianqale ( 37.36740337717702, 53.90813204019619)"," 37.36740337717702, 53.90813204019619",14,1,123,4,2,12
233,"torkaman (36.893415835245456, 54.067628411234274)","36.893415835245456, 54.067628411234274",14,1,151,7,1,11
252,chalasht (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",14,1,125,7,1,11
259,mianqale(similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",13,1,133,7,2,12
261,marjani (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",13,1,116,5,2,12
262,mianqale (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",14,1,123,4,2,12
266,torkaman (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",19,1,152,8,1,11
269,faridpak (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",14,1,140,6,1,11
272,marjani (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",11,1,116,5,2,12
275,faridpak (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",20,1,149,10,1,11
310,"chonochenan (37.47849951921138, 49.93286121629362)","37.47849951921138, 49.93286121629362",13,1,167,5,1,11
375,"kiashahr(37.47849951921138, 49.93286121629362)","37.47849951921138, 49.93286121629362",9,1,123,5.5,2,12
391,torkaman (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",10,1,141,7,2,12
392,faridpak (similar to mianqale and torkaman)),"36.893415835245456, 54.000000000000000",10,1,120,4,2,12
405,torkaman (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",20,1,165,10,1,11
418,faridpak (similar to mianqale and torkaman)),"36.893415835245456, 54.000000000000000",14,1,120,4,2,12
420,mianqale (similar to mianqale and torkaman),"36.893415835245456, 54.000000000000000",14,1,140,6,1,11
